,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
75,Baiano,1283222505,110145,1835.75,5.029452054794521,130745,11649,555531,462094,28545771,True,True,Portuguese
76,BeyondTheSummit,1279114110,507810,8463.5,23.187671232876713,65878,2518,959186,77976,42667523,True,False,English
77,TFBlade,1272145140,129390,2156.5,5.9082191780821915,35833,9831,1095586,339414,32188915,True,False,English
78,SilverName,1242968550,104055,1734.25,4.751369863013698,28577,11944,661719,118990,31627969,True,False,Russian
79,DrDisrespect,1241722230,44280,738.0,2.021917808219178,66836,28042,4450718,545906,27637218,True,False,English
80,forsen,1220588490,104775,1746.25,4.784246575342466,56262,11649,1467818,219230,18996092,True,True,English
81,Bugha,1204613835,97845,1630.75,4.467808219178083,62529,12310,3865315,2350047,41152860,True,False,English
82,서새봄냥 (saddummy),1202649615,190965,3182.75,8.71986301369863,35474,6297,607581,63540,33168615,True,False,Korean
83,Elraenn,1201864890,58200,970.0,2.6575342465753424,83351,20650,1935118,1131169,33024659,True,False,Turkish
84,Yassuo,1176158220,112110,1868.5,5.119178082191781,70587,10490,1966614,582206,31155313,True,False,English
85,ludwig,1168914480,102690,1711.5,4.689041095890411,97716,11382,1466995,1111776,21198755,True,False,English
86,BLASTPremier,1143781140,32130,535.5,1.4671232876712328,139017,35598,788302,415947,34010768,True,False,English
87,Reborn_Live,1133920305,63150,1052.5,2.8835616438356166,113707,17955,1585314,1359089,25451475,True,False,Spanish
88,elded,1132007895,115125,1918.75,5.256849315068493,44758,9832,3574687,1739335,21600675,True,False,Spanish
89,ZeratoR,1121400765,88410,1473.5,4.036986301369863,318182,12683,1022462,264878,33950354,True,True,French
90,DreamHackCS,1112942610,151710,2528.5,6.927397260273972,138818,7335,1881105,281775,30064533,True,False,English
91,NickEh30,1103832990,115080,1918.0,5.254794520547946,85073,9591,2437572,1570470,32463103,True,False,English
92,Sacriel,1086876690,161055,2684.25,7.354109589041096,66781,6747,687794,132320,71125857,True,False,English
93,WePlayEsport_EN,1084370115,125385,2089.75,5.725342465753425,109802,8648,220272,182302,25196229,True,False,English
94,Maximilian_DOOD,1081221075,106005,1766.75,4.840410958904109,43253,10199,890634,144697,16895387,True,False,English
95,benjyfishy,1080609990,45795,763.25,2.091095890410959,75491,23596,2796574,2106635,39632568,True,False,English
96,LVPes,1075497360,91185,1519.75,4.163698630136986,95207,11794,682107,159590,53872079,True,False,Spanish
97,Rainbow6,1070302755,100995,1683.25,4.611643835616438,135471,10597,1626674,413610,19043276,True,True,English
98,GRONKH,1067150340,58350,972.5,2.664383561643836,50517,18288,1293448,181019,15217936,True,True,German
99,SolaryFortnite,1063168440,403545,6725.75,18.426712328767124,40703,2634,1598763,431435,25823006,True,False,French
100,lestream,1060510725,229875,3831.25,10.496575342465754,40306,4612,934412,111994,33328245,True,False,French
